timestamp,suite,program,mode,run_index,status,stderr_note,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses
2026-04-15T22:56:18+0800,micro,alloc_medium_objects,wasm-jit,8,ok,,37000005,97111247,20538772,181749,6451611,295297,70418,40887
2026-04-15T22:56:18+0800,micro,alloc_medium_objects,wasm-jit,9,ok,,34374977,96943546,20513346,182422,6409762,292301,66578,35840
2026-04-15T22:56:18+0800,micro,alloc_medium_objects,wasm-jit,10,ok,,36301524,96838852,20499501,182535,6382984,289495,69129,39475
2026-04-15T22:56:18+0800,micro,alloc_pool_style,native,1,ok,,2365977,3820259,507440,6486,688090,45918,3746,363
2026-04-15T22:56:18+0800,micro,alloc_pool_style,native,2,ok,,2368964,3839419,510277,6258,692450,45717,3770,1567
2026-04-15T22:56:18+0800,micro,alloc_pool_style,native,3,ok,,2404398,3829229,507521,6337,689801,45503,3639,333
2026-04-15T22:56:18+0800,micro,alloc_pool_style,native,4,ok,,2453502,3825533,507653,6437,689265,45645,3628,362
2026-04-15T22:56:18+0800,micro,alloc_pool_style,native,5,ok,,2365635,3837243,510560,6504,692044,45845,3705,326
2026-04-15T22:56:18+0800,micro,alloc_pool_style,native,6,ok,,2373121,3820585,507926,5937,687135,45132,3491,322
2026-04-15T22:56:18+0800,micro,alloc_pool_style,native,7,ok,,2347919,3819920,506678,5945,688136,45621,3668,369
2026-04-15T22:56:18+0800,micro,alloc_pool_style,native,8,ok,,2314233,3815405,505701,6390,686914,45503,3656,378
2026-04-15T22:56:19+0800,micro,alloc_pool_style,native,9,ok,,2406724,3817619,506443,7025,687312,46236,3889,328
2026-04-15T22:56:19+0800,micro,alloc_pool_style,native,10,ok,,2435219,3805290,504263,6561,684677,46585,3803,273
2026-04-15T22:56:18+0800,micro,alloc_pool_style,wasm-aot,1,ok,,17636469,21647307,4150482,52082,4118699,297081,64337,37681
2026-04-15T22:56:18+0800,micro,alloc_pool_style,wasm-aot,2,ok,,16513710,21736107,4166919,53699,4141521,298490,64321,36410
2026-04-15T22:56:18+0800,micro,alloc_pool_style,wasm-aot,3,ok,,16878073,21728871,4164683,53580,4136794,303443,65088,37128
2026-04-15T22:56:18+0800,micro,alloc_pool_style,wasm-aot,4,ok,,17742558,21808881,4180320,54616,4153098,298780,65626,37318
2026-04-15T22:56:18+0800,micro,alloc_pool_style,wasm-aot,5,ok,,15976800,21778385,4173531,53835,4150431,301436,62783,35193
2026-04-15T22:56:18+0800,micro,alloc_pool_style,wasm-aot,6,ok,,18077686,21777658,4176100,54711,4150178,302040,66012,37881
2026-04-15T22:56:18+0800,micro,alloc_pool_style,wasm-aot,7,ok,,16603374,21674091,4152729,54599,4125774,300061,65279,37828
2026-04-15T22:56:19+0800,micro,alloc_pool_style,wasm-aot,8,ok,,15731304,21831820,4184682,54705,4163827,304844,58884,29687
2026-04-15T22:56:19+0800,micro,alloc_pool_style,wasm-aot,9,ok,,16006547,21788819,4171899,53792,4157592,301510,61886,33721
2026-04-15T22:56:19+0800,micro,alloc_pool_style,wasm-aot,10,ok,,17794019,21772382,4171833,52890,4147453,300241,67167,39171
2026-04-15T22:56:18+0800,micro,alloc_pool_style,wasm-jit,1,ok,,18257190,23920040,4499649,62384,4687165,324033,67017,37375
2026-04-15T22:56:18+0800,micro,alloc_pool_style,wasm-jit,2,ok,,19653851,23919847,4499288,59672,4687839,321092,68846,39695
2026-04-15T22:56:18+0800,micro,alloc_pool_style,wasm-jit,3,ok,,19673224,23983595,4512038,61091,4703267,326039,69994,39218
2026-04-15T22:56:18+0800,micro,alloc_pool_style,wasm-jit,4,ok,,18667008,23822803,4478232,62876,4666882,322144,68819,38843
