timestamp,suite,program,mode,run_index,event,value,status,stderr_note
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,5,instructions,270590370,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,5,branches,28701616,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,5,branch-misses,63333,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,5,L1-dcache-loads,12905497,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,5,L1-dcache-load-misses,17078752,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,5,LLC-loads,3648302,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,5,LLC-load-misses,41066,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,5,cycles,103825886,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,5,instructions,268461314,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,5,branches,28381708,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,5,branch-misses,55331,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,5,L1-dcache-loads,12365286,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,5,L1-dcache-load-misses,17054123,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,5,LLC-loads,3662448,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,5,LLC-load-misses,40193,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,6,cycles,81556021,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,6,instructions,23910122,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,6,branches,1788810,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,6,branch-misses,8095,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,6,L1-dcache-loads,9337557,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,6,L1-dcache-load-misses,16810564,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,6,LLC-loads,3398162,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,6,LLC-load-misses,6087,ok,
2026-04-15T22:56:16+0800,micro,alloc_bulk_buffer,wasm-jit,6,cycles,106535220,ok,
2026-04-15T22:56:16+0800,micro,alloc_bulk_buffer,wasm-jit,6,instructions,270606464,ok,
