suite,target,feature,spearman_rho,n
micro,delta_l1_load_miss_rate_aot,mem_instr_count,-0.3014273623455605,34
micro,delta_l1_load_miss_rate_aot,ls_ratio,-0.29983954329492096,34
micro,delta_l1_load_miss_rate_aot,syscall_density,0.29973254003303046,34
micro,delta_l1_load_miss_rate_aot,avg_bb_out_degree,-0.277413403210696,34
micro,delta_l1_load_miss_rate_aot,total_instr_count,-0.23746184309853902,34
micro,delta_l1_load_miss_rate_aot,call_density,0.23303790003139718,34
micro,delta_l1_load_miss_rate_aot,syscall_count,0.2259088633285628,34
micro,delta_l1_load_miss_rate_aot,compute_instr_count,-0.216593048686301,34
micro,delta_l1_load_miss_rate_aot,basic_block_count,-0.19573754927886722,34
micro,delta_l1_load_miss_rate_aot,call_bb_ratio,0.1730740377844211,34
micro,delta_l1_load_miss_rate_aot,br_instr_count,-0.15760626509954861,34
micro,delta_l1_load_miss_rate_aot,compute_mem_ratio,0.1472139628282197,34
micro,delta_l1_load_miss_rate_aot,io_call_count,0.1257435057814271,34
micro,delta_l1_load_miss_rate_aot,call_instr_count,-0.09430561139930091,34
micro,delta_l1_load_miss_rate_aot,compute_density,-0.08878361961851919,34
micro,delta_l1_load_miss_rate_aot,func_count,-0.07984636960487998,34
micro,delta_l1_load_miss_rate_aot,indirect_call_count,-0.07984636960487998,34
micro,delta_l1_load_miss_rate_aot,br_density,0.04463467299030012,34
micro,delta_l1_load_miss_rate_aot,avg_bb_size,0.03209291747804965,34
micro,delta_l1_load_miss_rate_jit,max_loop_depth,-0.43429407836738254,34
micro,delta_l1_load_miss_rate_jit,io_density,0.3291798042329789,34
micro,delta_l1_load_miss_rate_jit,syscall_density,0.32449371876089933,34
micro,delta_l1_load_miss_rate_jit,ls_ratio,-0.29173990221712753,34
micro,delta_l1_load_miss_rate_jit,mem_instr_count,-0.2858882347759314,34
micro,delta_l1_load_miss_rate_jit,avg_bb_out_degree,-0.27960173709524644,34
micro,delta_l1_load_miss_rate_jit,syscall_count,0.2760597107884678,34
micro,delta_l1_load_miss_rate_jit,call_density,0.2582518367561057,34
micro,delta_l1_load_miss_rate_jit,compute_instr_count,-0.23695126456988969,34
micro,delta_l1_load_miss_rate_jit,total_instr_count,-0.22798171800381306,34
micro,delta_l1_load_miss_rate_jit,io_call_count,0.17914568601452696,34
