timestamp,program,mode,run_index,event,value,status,stderr_note,runtime_engine,compiler
2026-06-03T13:21:39+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,1,cpu-cycles,10189612764,ok,,wasmer,cranelift
2026-06-03T13:21:39+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,1,L1-icache-load-misses,1260540,ok,,wasmer,cranelift
2026-06-03T13:21:39+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,1,branch-misses,142777,ok,,wasmer,cranelift
2026-06-03T13:21:42+0800,llvmss_misc_matmul_f64_4x4,native,2,r81d0,18106233135,ok,,wasmer,cranelift
2026-06-03T13:21:42+0800,llvmss_misc_matmul_f64_4x4,native,2,r82d0,3003943437,ok,,wasmer,cranelift
2026-06-03T13:21:42+0800,llvmss_misc_matmul_f64_4x4,native,2,r00c4,1954287776,ok,,wasmer,cranelift
2026-06-03T13:21:42+0800,llvmss_misc_matmul_f64_4x4,native,2,r01c4,50771411,ok,,wasmer,cranelift
2026-06-03T13:21:42+0800,llvmss_misc_matmul_f64_4x4,native,2,r1c0,28974962261,ok,,wasmer,cranelift
2026-06-03T13:21:42+0800,llvmss_misc_matmul_f64_4x4,native,2,cpu-cycles,11993714743,ok,,wasmer,cranelift
2026-06-03T13:21:42+0800,llvmss_misc_matmul_f64_4x4,native,2,L1-icache-load-misses,547607,ok,,wasmer,cranelift
2026-06-03T13:21:42+0800,llvmss_misc_matmul_f64_4x4,native,2,branch-misses,25315,ok,,wasmer,cranelift
2026-06-03T13:21:45+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,2,r81d0,13014291644,ok,,wasmer,cranelift
2026-06-03T13:21:45+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,2,r82d0,3358949281,ok,,wasmer,cranelift
2026-06-03T13:21:45+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,2,r00c4,1960599919,ok,,wasmer,cranelift
2026-06-03T13:21:45+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,2,r01c4,52300327,ok,,wasmer,cranelift
2026-06-03T13:21:45+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,2,r1c0,30357866065,ok,,wasmer,cranelift
2026-06-03T13:21:45+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,2,cpu-cycles,10193288668,ok,,wasmer,cranelift
2026-06-03T13:21:45+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,2,L1-icache-load-misses,1426219,ok,,wasmer,cranelift
2026-06-03T13:21:45+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,2,branch-misses,150937,ok,,wasmer,cranelift
2026-06-03T13:21:48+0800,llvmss_misc_matmul_f64_4x4,native,3,r81d0,18106208770,ok,,wasmer,cranelift
2026-06-03T13:21:48+0800,llvmss_misc_matmul_f64_4x4,native,3,r82d0,3003930655,ok,,wasmer,cranelift
2026-06-03T13:21:48+0800,llvmss_misc_matmul_f64_4x4,native,3,r00c4,1954269358,ok,,wasmer,cranelift
2026-06-03T13:21:48+0800,llvmss_misc_matmul_f64_4x4,native,3,r01c4,50769925,ok,,wasmer,cranelift
2026-06-03T13:21:48+0800,llvmss_misc_matmul_f64_4x4,native,3,r1c0,28974865111,ok,,wasmer,cranelift
2026-06-03T13:21:48+0800,llvmss_misc_matmul_f64_4x4,native,3,cpu-cycles,11908062387,ok,,wasmer,cranelift
2026-06-03T13:21:48+0800,llvmss_misc_matmul_f64_4x4,native,3,L1-icache-load-misses,519540,ok,,wasmer,cranelift
2026-06-03T13:21:48+0800,llvmss_misc_matmul_f64_4x4,native,3,branch-misses,26080,ok,,wasmer,cranelift
2026-06-03T13:21:51+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,3,r81d0,13014209944,ok,,wasmer,cranelift
2026-06-03T13:21:51+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,3,r82d0,3358905012,ok,,wasmer,cranelift
2026-06-03T13:21:51+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,3,r00c4,1960535766,ok,,wasmer,cranelift
2026-06-03T13:21:51+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,3,r01c4,52283391,ok,,wasmer,cranelift
2026-06-03T13:21:51+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,3,r1c0,30357526412,ok,,wasmer,cranelift
2026-06-03T13:21:51+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,3,cpu-cycles,10187483863,ok,,wasmer,cranelift
2026-06-03T13:21:51+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,3,L1-icache-load-misses,1278463,ok,,wasmer,cranelift
2026-06-03T13:21:51+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,3,branch-misses,144851,ok,,wasmer,cranelift
2026-06-03T13:21:55+0800,llvmss_misc_richards_benchmark,native,1,r81d0,3558406544,ok,,wasmer,cranelift
2026-06-03T13:21:55+0800,llvmss_misc_richards_benchmark,native,1,r82d0,1895073454,ok,,wasmer,cranelift
2026-06-03T13:21:55+0800,llvmss_misc_richards_benchmark,native,1,r00c4,1549533999,ok,,wasmer,cranelift
2026-06-03T13:21:55+0800,llvmss_misc_richards_benchmark,native,1,r01c4,377229623,ok,,wasmer,cranelift
2026-06-03T13:21:55+0800,llvmss_misc_richards_benchmark,native,1,r1c0,7764505027,ok,,wasmer,cranelift
2026-06-03T13:21:55+0800,llvmss_misc_richards_benchmark,native,1,cpu-cycles,3398213117,ok,,wasmer,cranelift
2026-06-03T13:21:55+0800,llvmss_misc_richards_benchmark,native,1,L1-icache-load-misses,175095,ok,,wasmer,cranelift
2026-06-03T13:21:55+0800,llvmss_misc_richards_benchmark,native,1,branch-misses,8878289,ok,,wasmer,cranelift
2026-06-03T13:21:57+0800,llvmss_misc_richards_benchmark,wasm-aot,1,r81d0,5233837609,ok,,wasmer,cranelift
2026-06-03T13:21:57+0800,llvmss_misc_richards_benchmark,wasm-aot,1,r82d0,2456653572,ok,,wasmer,cranelift
2026-06-03T13:21:57+0800,llvmss_misc_richards_benchmark,wasm-aot,1,r00c4,1564324738,ok,,wasmer,cranelift
2026-06-03T13:21:57+0800,llvmss_misc_richards_benchmark,wasm-aot,1,r01c4,379026360,ok,,wasmer,cranelift
2026-06-03T13:21:57+0800,llvmss_misc_richards_benchmark,wasm-aot,1,r1c0,11818160385,ok,,wasmer,cranelift
2026-06-03T13:21:57+0800,llvmss_misc_richards_benchmark,wasm-aot,1,cpu-cycles,6278774159,ok,,wasmer,cranelift
2026-06-03T13:21:57+0800,llvmss_misc_richards_benchmark,wasm-aot,1,L1-icache-load-misses,1180600,ok,,wasmer,cranelift
2026-06-03T13:21:57+0800,llvmss_misc_richards_benchmark,wasm-aot,1,branch-misses,8902423,ok,,wasmer,cranelift
2026-06-03T13:21:58+0800,llvmss_misc_richards_benchmark,native,2,r81d0,3558541440,ok,,wasmer,cranelift
2026-06-03T13:21:58+0800,llvmss_misc_richards_benchmark,native,2,r82d0,1895165508,ok,,wasmer,cranelift
2026-06-03T13:21:58+0800,llvmss_misc_richards_benchmark,native,2,r00c4,1549615983,ok,,wasmer,cranelift
2026-06-03T13:21:58+0800,llvmss_misc_richards_benchmark,native,2,r01c4,377247889,ok,,wasmer,cranelift
2026-06-03T13:21:58+0800,llvmss_misc_richards_benchmark,native,2,r1c0,7765048247,ok,,wasmer,cranelift
2026-06-03T13:21:58+0800,llvmss_misc_richards_benchmark,native,2,cpu-cycles,3407052396,ok,,wasmer,cranelift
2026-06-03T13:21:58+0800,llvmss_misc_richards_benchmark,native,2,L1-icache-load-misses,221944,ok,,wasmer,cranelift
2026-06-03T13:21:58+0800,llvmss_misc_richards_benchmark,native,2,branch-misses,8863851,ok,,wasmer,cranelift
