program,mode,event,event_alias,repeat_count,median_value
llvmss_misc_flops-1,wasm-jit,r01c4,conditional_branches,5,313449018.0
llvmss_misc_flops-1,wasm-jit,r1c0,instructions_retired,5,5335143917.0
llvmss_misc_flops-1,wasm-jit,r81d0,all_loads_retired,5,5461836.0
llvmss_misc_flops-1,wasm-jit,r82d0,all_stores_retired,5,3372622.0
llvmss_misc_flops-2,native,L1-icache-load-misses,L1_icache_load_misses,5,117535.0
llvmss_misc_flops-2,native,branch-misses,branch_misses,5,10019.0
llvmss_misc_flops-2,native,cpu-cycles,cpu_cycles,5,1505341139.0
llvmss_misc_flops-2,native,r00c4,branches_retired,5,98378685.0
llvmss_misc_flops-2,native,r01c4,conditional_branches,5,97790623.0
llvmss_misc_flops-2,native,r1c0,instructions_retired,5,1449415479.0
llvmss_misc_flops-2,native,r81d0,all_loads_retired,5,1014993.0
llvmss_misc_flops-2,native,r82d0,all_stores_retired,5,631906.0
llvmss_misc_flops-2,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,562446.0
llvmss_misc_flops-2,wasm-aot,branch-misses,branch_misses,5,58185.0
llvmss_misc_flops-2,wasm-aot,cpu-cycles,cpu_cycles,5,1478230063.0
llvmss_misc_flops-2,wasm-aot,r00c4,branches_retired,5,472192345.0
llvmss_misc_flops-2,wasm-aot,r01c4,conditional_branches,5,157062456.0
llvmss_misc_flops-2,wasm-aot,r1c0,instructions_retired,5,3143230674.0
llvmss_misc_flops-2,wasm-aot,r81d0,all_loads_retired,5,4360507.0
llvmss_misc_flops-2,wasm-aot,r82d0,all_stores_retired,5,2734597.0
llvmss_misc_flops-2,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,617007.0
llvmss_misc_flops-2,wasm-jit,branch-misses,branch_misses,5,65938.0
llvmss_misc_flops-2,wasm-jit,cpu-cycles,cpu_cycles,5,1480580547.0
llvmss_misc_flops-2,wasm-jit,r00c4,branches_retired,5,472520485.0
llvmss_misc_flops-2,wasm-jit,r01c4,conditional_branches,5,157129788.0
llvmss_misc_flops-2,wasm-jit,r1c0,instructions_retired,5,3145342777.0
llvmss_misc_flops-2,wasm-jit,r81d0,all_loads_retired,5,4888610.0
llvmss_misc_flops-2,wasm-jit,r82d0,all_stores_retired,5,3004820.0
llvmss_misc_flops-3,native,L1-icache-load-misses,L1_icache_load_misses,5,186886.0
llvmss_misc_flops-3,native,branch-misses,branch_misses,5,12088.0
llvmss_misc_flops-3,native,cpu-cycles,cpu_cycles,5,3349220478.0
llvmss_misc_flops-3,native,r00c4,branches_retired,5,313898435.0
llvmss_misc_flops-3,native,r01c4,conditional_branches,5,312749214.0
llvmss_misc_flops-3,native,r1c0,instructions_retired,5,6883061593.0
llvmss_misc_flops-3,native,r81d0,all_loads_retired,5,2004617.0
llvmss_misc_flops-3,native,r82d0,all_stores_retired,5,1259402.0
llvmss_misc_flops-3,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,614985.0
llvmss_misc_flops-3,wasm-aot,branch-misses,branch_misses,5,58273.0
llvmss_misc_flops-3,wasm-aot,cpu-cycles,cpu_cycles,5,3062770035.0
llvmss_misc_flops-3,wasm-aot,r00c4,branches_retired,5,316500388.0
llvmss_misc_flops-3,wasm-aot,r01c4,conditional_branches,5,313403792.0
llvmss_misc_flops-3,wasm-aot,r1c0,instructions_retired,5,6271483502.0
llvmss_misc_flops-3,wasm-aot,r81d0,all_loads_retired,5,5177345.0
llvmss_misc_flops-3,wasm-aot,r82d0,all_stores_retired,5,3254454.0
llvmss_misc_flops-3,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,689325.0
llvmss_misc_flops-3,wasm-jit,branch-misses,branch_misses,5,70002.0
llvmss_misc_flops-3,wasm-jit,cpu-cycles,cpu_cycles,5,3065513872.0
llvmss_misc_flops-3,wasm-jit,r00c4,branches_retired,5,316875293.0
llvmss_misc_flops-3,wasm-jit,r01c4,conditional_branches,5,313482945.0
llvmss_misc_flops-3,wasm-jit,r1c0,instructions_retired,5,6273840672.0
llvmss_misc_flops-3,wasm-jit,r81d0,all_loads_retired,5,5757270.0
llvmss_misc_flops-3,wasm-jit,r82d0,all_stores_retired,5,3558654.0
llvmss_misc_flops-4,native,L1-icache-load-misses,L1_icache_load_misses,5,107821.0
llvmss_misc_flops-4,native,branch-misses,branch_misses,5,9682.0
llvmss_misc_flops-4,native,cpu-cycles,cpu_cycles,5,1559547263.0
llvmss_misc_flops-4,native,r00c4,branches_retired,5,157014213.0
llvmss_misc_flops-4,native,r01c4,conditional_branches,5,156389969.0
llvmss_misc_flops-4,native,r1c0,instructions_retired,5,3285607392.0
llvmss_misc_flops-4,native,r81d0,all_loads_retired,5,1077716.0
llvmss_misc_flops-4,native,r82d0,all_stores_retired,5,671924.0
llvmss_misc_flops-4,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,541036.0
llvmss_misc_flops-4,wasm-aot,branch-misses,branch_misses,5,55616.0
llvmss_misc_flops-4,wasm-aot,cpu-cycles,cpu_cycles,5,1489330957.0
llvmss_misc_flops-4,wasm-aot,r00c4,branches_retired,5,159674048.0
llvmss_misc_flops-4,wasm-aot,r01c4,conditional_branches,5,157052330.0
llvmss_misc_flops-4,wasm-aot,r1c0,instructions_retired,5,3143130935.0
llvmss_misc_flops-4,wasm-aot,r81d0,all_loads_retired,5,316835340.0
