program,runtime,run_index,internal_ms,parsed_ok,ok,error
bicg,wasm-aot,19,6.687,1,1,
bicg,wasm-aot,20,6.37,1,1,
bicg,wasm-aot,21,6.3629999999999995,1,1,
bicg,wasm-aot,22,6.518000000000001,1,1,
bicg,wasm-aot,23,10.361,1,1,
bicg,wasm-aot,24,6.557,1,1,
bicg,wasm-aot,25,6.755,1,1,
bicg,wasm-aot,26,6.359,1,1,
bicg,wasm-aot,27,6.685,1,1,
bicg,wasm-aot,28,6.44,1,1,
bicg,wasm-aot,29,6.395,1,1,
bicg,wasm-aot,30,6.588,1,1,
cholesky,native,1,579.47,1,1,
cholesky,native,2,589.178,1,1,
cholesky,native,3,579.2230000000001,1,1,
cholesky,native,4,604.1840000000001,1,1,
cholesky,native,5,589.7139999999999,1,1,
cholesky,native,6,588.2810000000001,1,1,
cholesky,native,7,586.518,1,1,
cholesky,native,8,590.0849999999999,1,1,
cholesky,native,9,582.781,1,1,
cholesky,native,10,578.055,1,1,
cholesky,native,11,584.033,1,1,
cholesky,native,12,599.6740000000001,1,1,
cholesky,native,13,594.581,1,1,
cholesky,native,14,582.331,1,1,
cholesky,native,15,595.696,1,1,
cholesky,native,16,623.248,1,1,
cholesky,native,17,589.082,1,1,
cholesky,native,18,592.9060000000001,1,1,
cholesky,native,19,592.6289999999999,1,1,
cholesky,native,20,583.215,1,1,
cholesky,native,21,581.558,1,1,
cholesky,native,22,590.071,1,1,
cholesky,native,23,588.025,1,1,
cholesky,native,24,592.401,1,1,
cholesky,native,25,591.6439999999999,1,1,
cholesky,native,26,594.186,1,1,
cholesky,native,27,590.654,1,1,
cholesky,native,28,579.206,1,1,
cholesky,native,29,605.303,1,1,
cholesky,native,30,586.279,1,1,
cholesky,wasm-jit,1,594.193,1,1,
cholesky,wasm-jit,2,599.9060000000001,1,1,
cholesky,wasm-jit,3,583.667,1,1,
cholesky,wasm-jit,4,597.26,1,1,
cholesky,wasm-jit,5,574.012,1,1,
cholesky,wasm-jit,6,605.6740000000001,1,1,
cholesky,wasm-jit,7,589.2460000000001,1,1,
cholesky,wasm-jit,8,592.5070000000001,1,1,
cholesky,wasm-jit,9,598.977,1,1,
cholesky,wasm-jit,10,588.6,1,1,
