timestamp,program,mode,run_index,event,value,status,stderr_note
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,5,r82d0,10576020,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,5,r00c4,1018868485,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,5,r01c4,3404652,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,5,r1c0,6163034075,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,5,cpu-cycles,1237531370,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,5,L1-icache-load-misses,555872,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,5,branch-misses,58186,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,native,1,r81d0,820240764,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,native,1,r82d0,410248000,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,native,1,r00c4,813439662,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,native,1,r01c4,235198,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,native,1,r1c0,1841497291,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,native,1,cpu-cycles,1514775245,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,native,1,L1-icache-load-misses,122942,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,native,1,branch-misses,125851,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,wasm-jit,1,r81d0,1432320655,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,wasm-jit,1,r82d0,617697799,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,wasm-jit,1,r00c4,1014663117,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,wasm-jit,1,r01c4,7494544,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,wasm-jit,1,r1c0,5895298607,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,wasm-jit,1,cpu-cycles,1773443261,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,wasm-jit,1,L1-icache-load-misses,648047,ok,
2026-04-24T15:02:59+0800,llvmss_misc_evalloop,wasm-jit,1,branch-misses,168822,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,wasm-aot,1,r81d0,1431802939,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,wasm-aot,1,r82d0,617428128,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,wasm-aot,1,r00c4,1014341171,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,wasm-aot,1,r01c4,7423103,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,wasm-aot,1,r1c0,5893205398,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,wasm-aot,1,cpu-cycles,1767814523,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,wasm-aot,1,L1-icache-load-misses,574905,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,wasm-aot,1,branch-misses,159945,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,native,2,r81d0,820279174,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,native,2,r82d0,410273280,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,native,2,r00c4,813464897,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,native,2,r01c4,240252,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,native,2,r1c0,1841657404,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,native,2,cpu-cycles,1514497569,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,native,2,L1-icache-load-misses,131634,ok,
2026-04-24T15:03:00+0800,llvmss_misc_evalloop,native,2,branch-misses,111549,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-jit,2,r81d0,1432305127,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-jit,2,r82d0,617684696,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-jit,2,r00c4,1014648262,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-jit,2,r01c4,7489501,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-jit,2,r1c0,5895219281,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-jit,2,cpu-cycles,1766382373,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-jit,2,L1-icache-load-misses,638376,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-jit,2,branch-misses,168671,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-aot,2,r81d0,1431760046,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-aot,2,r82d0,617397650,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-aot,2,r00c4,1014310913,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-aot,2,r01c4,7417508,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-aot,2,r1c0,5893042369,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-aot,2,cpu-cycles,1763468402,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-aot,2,L1-icache-load-misses,550082,ok,
2026-04-24T15:03:01+0800,llvmss_misc_evalloop,wasm-aot,2,branch-misses,157396,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,native,3,r81d0,820242328,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,native,3,r82d0,410251635,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,native,3,r00c4,813441025,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,native,3,r01c4,236912,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,native,3,r1c0,1841516939,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,native,3,cpu-cycles,1513549374,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,native,3,L1-icache-load-misses,121640,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,native,3,branch-misses,111489,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,wasm-jit,3,r81d0,1432344465,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,wasm-jit,3,r82d0,617707336,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,wasm-jit,3,r00c4,1014683305,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,wasm-jit,3,r01c4,7498928,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,wasm-jit,3,r1c0,5895388991,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,wasm-jit,3,cpu-cycles,1768001976,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,wasm-jit,3,L1-icache-load-misses,625103,ok,
2026-04-24T15:03:02+0800,llvmss_misc_evalloop,wasm-jit,3,branch-misses,166177,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,wasm-aot,3,r81d0,1431792171,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,wasm-aot,3,r82d0,617410873,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,wasm-aot,3,r00c4,1014345842,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,wasm-aot,3,r01c4,7432600,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,wasm-aot,3,r1c0,5893201580,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,wasm-aot,3,cpu-cycles,1771228133,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,wasm-aot,3,L1-icache-load-misses,565519,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,wasm-aot,3,branch-misses,159229,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,native,4,r81d0,820256281,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,native,4,r82d0,410260306,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,native,4,r00c4,813449936,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,native,4,r01c4,239909,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,native,4,r1c0,1841581987,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,native,4,cpu-cycles,1517895120,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,native,4,L1-icache-load-misses,136630,ok,
2026-04-24T15:03:03+0800,llvmss_misc_evalloop,native,4,branch-misses,217900,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-jit,4,r81d0,1432331297,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-jit,4,r82d0,617708842,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-jit,4,r00c4,1014666944,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-jit,4,r01c4,7492916,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-jit,4,r1c0,5895325890,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-jit,4,cpu-cycles,1766786382,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-jit,4,L1-icache-load-misses,640539,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-jit,4,branch-misses,169948,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-aot,4,r81d0,1431843058,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-aot,4,r82d0,617443763,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-aot,4,r00c4,1014369037,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-aot,4,r01c4,7428438,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-aot,4,r1c0,5893362952,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-aot,4,cpu-cycles,1762735062,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-aot,4,L1-icache-load-misses,590049,ok,
2026-04-24T15:03:04+0800,llvmss_misc_evalloop,wasm-aot,4,branch-misses,160293,ok,
2026-04-24T15:03:05+0800,llvmss_misc_evalloop,native,5,r81d0,820234783,ok,
2026-04-24T15:03:05+0800,llvmss_misc_evalloop,native,5,r82d0,410245600,ok,
2026-04-24T15:03:05+0800,llvmss_misc_evalloop,native,5,r00c4,813435652,ok,
2026-04-24T15:03:05+0800,llvmss_misc_evalloop,native,5,r01c4,236448,ok,
