static_feature,perf_ratio,n,spearman_rho,p_value,abs_rho,fdr_q,fdr_sig_0.05,fdr_sig_0.10
compute_to_memory_ratio,ratio_cpu_cycles_over_native,52,0.3021061072601461,0.029502854590872343,0.3021061072601461,0.06462530053238703,False,True
branch_instr_count,ratio_cpu_cycles_over_native,52,0.2988783932634433,0.0313726385236872,0.2988783932634433,0.0666979423143266,False,True
load_count,ratio_all_stores_retired_over_native,52,-0.2988413973857448,0.03139462815114372,0.2988413973857448,0.0666979423143266,False,True
compute_to_memory_ratio,ratio_instructions_retired_over_native,52,0.2986031801114849,0.03153652707253486,0.2986031801114849,0.0666979423143266,False,True
avg_bb_out_degree,ratio_all_stores_retired_over_native,52,-0.2972254078642659,0.03236772601618514,0.2972254078642659,0.06767797257929621,False,True
ir_instruction_count,ratio_branches_retired_over_native,52,0.2908283905864076,0.03646898021376454,0.2908283905864076,0.07539654336328849,False,True
avg_bb_out_degree,ratio_branch_misses_over_native,52,-0.28601260954088964,0.03983204702511205,0.28601260954088964,0.08143440725134019,False,True
cfg_edge_count,ratio_L1_icache_load_misses_over_native,52,0.283667957256597,0.0415594776161258,0.283667957256597,0.08403235034469393,False,True
avg_bb_out_degree,ratio_all_loads_retired_over_native,52,-0.2816999948011295,0.043056424326944856,0.2816999948011295,0.08611284865388971,False,True
store_count,ratio_branch_misses_over_native,52,-0.28107071485698326,0.04354431038307103,0.28107071485698326,0.08615218398371041,False,True
function_count,ratio_branch_misses_over_native,52,-0.27783729912061894,0.04612310694649284,0.27783729912061894,0.09028352849100725,False,True
branch_instr_count,ratio_L1_icache_load_misses_over_native,52,0.27642132803129016,0.04729100555903161,0.27642132803129016,0.09159521076696649,False,True
avg_bb_out_degree,ratio_instructions_retired_over_native,52,0.27359227909038053,0.049696638583904176,0.27359227909038053,0.09525189061914967,False,True
function_count,ratio_branches_retired_over_native,52,0.2698665569327323,0.053015572146518135,0.2698665569327323,0.10056562139133336,False,False
load_store_ratio,ratio_branch_misses_over_native,52,0.26854213870140453,0.05423777499785116,0.26854213870140453,0.1018341897918838,False,False
max_loop_depth,ratio_instructions_retired_over_native,52,0.2657160631734124,0.0569219859496533,0.2657160631734124,0.10579439812864858,False,False
compute_instr_count,ratio_L1_icache_load_misses_over_native,52,0.26135650143967076,0.0612718680338606,0.26135650143967076,0.11274023718230351,False,False
store_count,ratio_cpu_cycles_over_native,52,0.2568211382911828,0.06607639262672274,0.2568211382911828,0.12037679448828698,False,False
hostcall_count,ratio_L1_icache_load_misses_over_native,52,-0.25592056710477407,0.06706530002059775,0.25592056710477407,0.12098054121362732,False,False
compute_density,ratio_instructions_retired_over_native,52,0.24960495881992215,0.07433646997603788,0.24960495881992215,0.13188178304331305,False,False
memory_instr_count,ratio_cpu_cycles_over_native,52,0.2494338064862954,0.07454187737230737,0.2494338064862954,0.13188178304331305,False,False
branch_density,ratio_conditional_branches_over_native,52,0.2461880531550361,0.07852302363742514,0.2461880531550361,0.1374901357996157,False,False
alloc_call_count,ratio_conditional_branches_over_native,52,-0.2456441490497962,0.07920627388456121,0.2456441490497962,0.1374901357996157,False,False
store_count,ratio_L1_icache_load_misses_over_native,52,0.24491209357203522,0.08013326984738185,0.24491209357203522,0.137799267774937,False,False
basic_block_count,ratio_conditional_branches_over_native,52,0.23978137953066136,0.08687228904601345,0.23978137953066136,0.1480046405969118,False,False
compute_to_memory_ratio,ratio_branch_misses_over_native,52,0.2349524307028851,0.09361265189585012,0.2349524307028851,0.15802502705354518,False,False
hostcall_count,ratio_branch_misses_over_native,52,-0.23389173914068,0.09514627448037849,0.23389173914068,0.15915376822172403,False,False
call_instr_count,ratio_L1_icache_load_misses_over_native,52,-0.23237743807399475,0.09736948471549503,0.23237743807399475,0.16140527196082058,False,False
cfg_edge_count,ratio_conditional_branches_over_native,52,0.23085420428525255,0.0996462165585615,0.23085420428525255,0.1628929349495146,False,False
ir_instruction_count,ratio_L1_icache_load_misses_over_native,52,0.2305951310789407,0.10003750896356059,0.2305951310789407,0.1628929349495146,False,False
alloc_call_count,ratio_all_loads_retired_over_native,52,-0.22348076718064167,0.11125374998475776,0.22348076718064167,0.1795210490357981,False,False
hostcall_density,ratio_L1_icache_load_misses_over_native,52,-0.22290577880139173,0.11220065564737382,0.22290577880139173,0.1795210490357981,False,False
branch_instr_count,ratio_conditional_branches_over_native,52,0.21780752070721487,0.12086814969043493,0.21780752070721487,0.191721892612414,False,False
function_count,ratio_conditional_branches_over_native,52,0.2145969050584856,0.12658148327490143,0.2145969050584856,0.19906831557762275,False,False
branch_density,ratio_L1_icache_load_misses_over_native,52,0.21321491348888624,0.12910258632177168,0.21321491348888624,0.20131250748479654,False,False
call_to_bb_ratio,ratio_branches_retired_over_native,52,-0.1965911065626686,0.1624583786341873,0.1965911065626686,0.25119614847639044,False,False
store_count,ratio_instructions_retired_over_native,52,0.1942555048029074,0.16760825269021468,0.1942555048029074,0.2569993207916625,False,False
compute_to_memory_ratio,ratio_L1_icache_load_misses_over_native,52,0.18676582309691156,0.1849231628294713,0.18676582309691156,0.2812054707489481,False,False
load_store_ratio,ratio_all_stores_retired_over_native,52,0.18509829044525336,0.18894681828010984,0.18509829044525336,0.28496897183229686,False,False
avg_bb_out_degree,ratio_branches_retired_over_native,52,0.18285486496582812,0.19445826737834035,0.18285486496582812,0.29089692030581,False,False
compute_density,ratio_L1_icache_load_misses_over_native,52,0.17836247570704908,0.20583655955899458,0.17836247570704908,0.30543489482947583,False,False
hostcall_count,ratio_conditional_branches_over_native,52,-0.17675720924177468,0.21001387319960876,0.17675720924177468,0.3091404213498241,False,False
basic_block_count,ratio_branches_retired_over_native,52,0.1742296354863079,0.2167112400441444,0.1742296354863079,0.3158385409833376,False,False
