static_feature,perf_ratio,wasmtime_spearman_rho,wasmtime_p_value,wasmtime_fdr_q,wasmtime_fdr_sig_0.10,wasmer_spearman_rho,wasmer_p_value,wasmer_fdr_q,wasmer_fdr_sig_0.10,max_abs_rho
loop_count,ratio_cpu_cycles_over_native,0.4503614647875651,0.0008077014532754,0.0064616116262034,True,0.5129985435128418,0.0001007985310607,0.0009761541955357,True,0.5129985435128418
call_to_bb_ratio,ratio_all_stores_retired_over_native,0.4735786630494881,0.000391083729504,0.0042476771796591,True,0.5083516227935151,0.0001193017297903,0.001097575914071,True,0.5083516227935151
ir_instruction_count,ratio_all_loads_retired_over_native,-0.4716990436038649,0.0004155336371405,0.0042476771796591,True,-0.503823448674514,0.000140268755476,0.0011100993511369,True,0.503823448674514
branch_density,ratio_branch_misses_over_native,-0.4722163628872449,0.000408670019893,0.0042476771796591,True,-0.5022851327382416,0.0001481237541908,0.0011100993511369,True,0.5022851327382416
branch_density,ratio_L1_icache_load_misses_over_native,0.2132149134888862,0.1291025863217716,0.2013125074847965,False,0.5021142874549973,0.0001490204494584,0.0011100993511369,True,0.5021142874549973
cfg_edge_count,ratio_L1_icache_load_misses_over_native,0.283667957256597,0.0415594776161258,0.0840323503446939,True,0.5019474584534341,0.0001499008421292,0.0011100993511369,True,0.5019474584534341
avg_bb_size,ratio_conditional_branches_over_native,-0.4445394270016682,0.0009612035137631,0.0069664401052672,True,-0.5017725968885087,0.000150828716187,0.0011100993511369,True,0.5017725968885087
ir_instruction_count,ratio_cpu_cycles_over_native,0.4416251324738956,0.0010474720176636,0.0070934208372657,True,0.4980991530901164,0.0001715736662838,0.0012142136383163,True,0.4980991530901164
branch_instr_count,ratio_L1_icache_load_misses_over_native,0.2764213280312901,0.0472910055590316,0.0915952107669664,True,0.4952693305253229,0.0001892926954903,0.0012899946655641,True,0.4952693305253229
compute_instr_count,ratio_cpu_cycles_over_native,0.4604934041062609,0.0005922753186619,0.0049535753924452,True,0.4790396306636215,0.0003272578030363,0.002150551277096,True,0.4790396306636215
avg_bb_size,ratio_cpu_cycles_over_native,-0.359458475946007,0.0088655490889905,0.0294892122360778,True,-0.4771708761013296,0.0003479484716571,0.0022076730615486,True,0.4771708761013296
hostcall_count,ratio_instructions_retired_over_native,-0.4465445286107992,0.0009056104631764,0.0069430135510192,True,-0.4749801471779962,0.000373709560187,0.0022920853024804,True,0.4749801471779962
hostcall_density,ratio_instructions_retired_over_native,-0.4353027761567999,0.0012589178404278,0.0079876166427148,True,-0.4722116670890349,0.0004087318577451,0.0023502081820345,True,0.4722116670890349
function_count,ratio_instructions_retired_over_native,0.4221865642375105,0.0018233485435469,0.0104842541253947,True,0.4687847493359244,0.0004561868640339,0.0025435873630984,True,0.4687847493359244
max_loop_depth,ratio_L1_icache_load_misses_over_native,0.3290356356743106,0.0172296755518353,0.0446515535427845,True,0.4677356516286592,0.0004716799142601,0.0025526207124666,True,0.4677356516286592
function_count,ratio_all_loads_retired_over_native,-0.4672081190130458,0.0004796488928186,0.0046450208567705,True,-0.4593249673986525,0.0006141478553266,0.0030541406859487,True,0.4672081190130458
alloc_call_count,ratio_all_stores_retired_over_native,-0.4158712347948304,0.0021681092503684,0.0117332971196409,True,-0.4660466687486109,0.0004976245184565,0.0026160831827429,True,0.4660466687486109
compute_density,ratio_branches_retired_over_native,0.4653825515574729,0.0005081744434062,0.0046752048793377,True,0.3379319702572251,0.0142784976355614,0.0324351057400408,True,0.4653825515574729
load_store_ratio,ratio_conditional_branches_over_native,-0.3139403799145359,0.0234232429248887,0.0556497481728028,True,-0.4543243951159705,0.0007162217163537,0.0034680209423446,True,0.4543243951159705
memory_access_density,ratio_cpu_cycles_over_native,-0.4405998855035558,0.0010794336056708,0.0070934208372657,True,-0.4483746750286331,0.0008574079666716,0.0040452068171174,True,0.4483746750286331
basic_block_count,ratio_cpu_cycles_over_native,0.3415590873889996,0.0132057737557416,0.0368160965311585,True,0.4460968686807843,0.0009177654245418,0.0042217209528925,True,0.4460968686807843
call_to_bb_ratio,ratio_branch_misses_over_native,0.3837841158972218,0.0049747514779679,0.020991196081591,True,0.444102812652217,0.0009737077604002,0.004369810436918,True,0.444102812652217
ir_instruction_count,ratio_instructions_retired_over_native,0.4301765413051005,0.0014575797725994,0.0089398226052763,True,0.4404290110084991,0.0010848447256084,0.0047526530836179,True,0.4404290110084991
avg_bb_size,ratio_all_stores_retired_over_native,0.3934566873116226,0.0039058186828513,0.0195635105561445,True,0.4395849137875836,0.0011119333642131,0.0047580404422144,True,0.4395849137875836
call_to_bb_ratio,ratio_conditional_branches_over_native,-0.3758384518770878,0.0060365982238244,0.0241960632902248,True,-0.4372678328499512,0.0011894360116167,0.0049740051394883,True,0.4372678328499512
compute_instr_count,ratio_all_stores_retired_over_native,-0.3575062934997197,0.0092692859878457,0.0299219056449757,True,-0.4350243925205769,0.0012690494050077,0.0051890020115873,True,0.4350243925205769
avg_bb_size,ratio_instructions_retired_over_native,-0.3444240910205085,0.0124079963774322,0.0362089851976146,True,-0.4318968760415901,0.0013879913174763,0.0055519652699054,True,0.4318968760415901
memory_instr_count,ratio_all_loads_retired_over_native,-0.3859083883005317,0.0047202198467063,0.020991196081591,True,-0.4240460220656629,0.001731608056244,0.0067790613265722,True,0.4240460220656629
basic_block_count,ratio_instructions_retired_over_native,0.3670897666483794,0.0074298696586563,0.0267473514969947,True,0.4167710884504157,0.0021156901472274,0.0081101455643718,True,0.4167710884504157
compute_to_memory_ratio,ratio_branches_retired_over_native,0.4159939582153991,0.0021608929516844,0.0117332971196409,True,0.2925371355369741,0.0353335818685067,0.0656704955939923,True,0.4159939582153991
call_to_bb_ratio,ratio_instructions_retired_over_native,-0.3503781521136479,0.0108815184800368,0.0339355830563861,True,-0.4101842253834732,0.0025269176934056,0.0094888337874825,True,0.4101842253834732
compute_instr_count,ratio_instructions_retired_over_native,0.3921202186413373,0.0040402902235516,0.0195635105561445,True,0.4061367216616466,0.002813419713315,0.0100741532536862,True,0.4061367216616466
branch_instr_count,ratio_cpu_cycles_over_native,0.2988783932634433,0.0313726385236872,0.0666979423143266,True,0.4057011900434149,0.0028458999046302,0.0100741532536862,True,0.4057011900434149
