program,mode,event,event_alias,repeat_count,median_value
llvmss_misc_flops-5,native,r00c4,branches_retired,5,157462132.0
llvmss_misc_flops-5,native,r01c4,conditional_branches,5,156473424.0
llvmss_misc_flops-5,native,r1c0,instructions_retired,5,5788231553.0
llvmss_misc_flops-5,native,r81d0,all_loads_retired,5,314235599.0
llvmss_misc_flops-5,native,r82d0,all_stores_retired,5,1095625.0
llvmss_misc_flops-5,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,1041122.0
llvmss_misc_flops-5,wasm-aot,branch-misses,branch_misses,5,131117.0
llvmss_misc_flops-5,wasm-aot,cpu-cycles,cpu_cycles,5,3096335491.0
llvmss_misc_flops-5,wasm-aot,r00c4,branches_retired,5,320710329.0
llvmss_misc_flops-5,wasm-aot,r01c4,conditional_branches,5,1874513.0
llvmss_misc_flops-5,wasm-aot,r1c0,instructions_retired,5,6606426107.0
llvmss_misc_flops-5,wasm-aot,r81d0,all_loads_retired,5,948309529.0
llvmss_misc_flops-5,wasm-aot,r82d0,all_stores_retired,5,162993203.0
llvmss_misc_flops-5,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,1100297.0
llvmss_misc_flops-5,wasm-jit,branch-misses,branch_misses,5,147412.0
llvmss_misc_flops-5,wasm-jit,cpu-cycles,cpu_cycles,5,3127577408.0
llvmss_misc_flops-5,wasm-jit,r00c4,branches_retired,5,321412627.0
llvmss_misc_flops-5,wasm-jit,r01c4,conditional_branches,5,2009341.0
llvmss_misc_flops-5,wasm-jit,r1c0,instructions_retired,5,6610335278.0
llvmss_misc_flops-5,wasm-jit,r81d0,all_loads_retired,5,949441365.0
llvmss_misc_flops-5,wasm-jit,r82d0,all_stores_retired,5,163775780.0
llvmss_misc_flops-6,native,L1-icache-load-misses,L1_icache_load_misses,5,169709.0
llvmss_misc_flops-6,native,branch-misses,branch_misses,5,12428.0
llvmss_misc_flops-6,native,cpu-cycles,cpu_cycles,5,2988250364.0
llvmss_misc_flops-6,native,r00c4,branches_retired,5,157479436.0
llvmss_misc_flops-6,native,r01c4,conditional_branches,5,156475405.0
llvmss_misc_flops-6,native,r1c0,instructions_retired,5,5788339872.0
llvmss_misc_flops-6,native,r81d0,all_loads_retired,5,314263574.0
llvmss_misc_flops-6,native,r82d0,all_stores_retired,5,1113422.0
llvmss_misc_flops-6,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,1038621.0
llvmss_misc_flops-6,wasm-aot,branch-misses,branch_misses,5,132189.0
llvmss_misc_flops-6,wasm-aot,cpu-cycles,cpu_cycles,5,3017824058.0
llvmss_misc_flops-6,wasm-aot,r00c4,branches_retired,5,320653510.0
llvmss_misc_flops-6,wasm-aot,r01c4,conditional_branches,5,1865037.0
llvmss_misc_flops-6,wasm-aot,r1c0,instructions_retired,5,6606099111.0
llvmss_misc_flops-6,wasm-aot,r81d0,all_loads_retired,5,948229905.0
llvmss_misc_flops-6,wasm-aot,r82d0,all_stores_retired,5,162953874.0
llvmss_misc_flops-6,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,1101690.0
llvmss_misc_flops-6,wasm-jit,branch-misses,branch_misses,5,147702.0
